en,es
Tom is a picky eater and seldom tries anything new.,Tom es quisquilloso y rara vez prueba algo nuevo.
Tom did what he believed was right.,Tom hizo lo que creyó que era correcto.
Don't wait.,¡No esperen!
I can't do it again.,No puedo volver a hacerlo.
I have to create a new website.,Tengo que crear un nuevo sitio web.
Please fill the teapot with boiling water.,Llena la tetera con agua hirviendo por favor.
I don't know whether to go to the party or not.,No sé si ir a la fiesta o no.
Perhaps it will rain in the afternoon.,Podría llover a la tarde.
Do you want to know how I did it?,¿Quieres saber cómo lo hice?
I can't forget Tom.,No puedo olvidar a Tom.
Call an ambulance.,Llama a una ambulancia.
Mary is baking a cake.,Mary está preparando una tarta.
You have thirty messages.,Tienes treinta mensajes.
Try hard.,Inténtalo de veras.
A bear will not touch a dead body.,Un oso no tocará un cadáver.
I'm Tom's wife.,Soy la esposa de Tom.
Chen is not Korean.,Chen no es coreano.
Tom asked Mary's father to buy him a ticket.,Tom le pidió al padre de Mary que le comprara un pasaje.
I'll scold him.,Lo regañaré.
I hate spiders.,Odio a las arañas.
You can have mine.,Puedes tener el mío.
It's rather amusing.,Es más bien divertido.
"He's the one, isn't he?","Es él, ¿verdad?"
I thought you said you didn't do that kind of thing.,Pensé que habías dicho que no hacías ese tipo de cosas.
"We often do what we have to do, not what we want to do.","A menudo hacemos lo que tenemos que hacer, no lo que queremos hacer."
Tom just can't get along with Mary.,Tom simplemente no puede llevarse bien con Mary.
Some people think the government has way too much power.,Ciertas personas consideran que el gobierno posee un poder excesivo.
"Unfortunately, it's a hoax.","Desafortunadamente, es falso."
Isn't that just a brush fire?,¿No es un simple incendio forestal?
The man and his wife helped each other.,El hombre y su esposa se ayudaron el uno al otro.
You work too hard these days. Aren't you tired?,Trabajas muy duro estos días. ¿No estás cansado?
We're still shopping around.,Estamos todavía comparando precios.
Only then did he realize he had been deceived.,Sólo entonces comprendió que había sido engañado.
Her husband eats everything she puts in front of him.,Su esposo come todo lo que ella le ponga en frente.
He was the first person to arrive.,Él fue la primera persona en llegar.
This isn't my umbrella; it's somebody else's.,"Este no es mi paraguas, es de alguien más."
Do you want to talk in my office?,¿Quieren conversar en mi oficina?
I think we can relax now.,Yo pienso que ahora nos podemos relajar.
Get out of my sight.,Sal de mi vista.
Lock the door!,¡Traba la puerta!
Will he be here soon?,¿Va a estar aquí pronto?
He was sitting between Mary and Tom.,Él estaba sentado entre Mary y Tom.
I'll ask him if he will come.,Le preguntaré si acaso vendrá.
Please be careful not to let the dog loose.,"Por favor, ten cuidado de no dejar al perro suelto."
We're studying French and web design.,Estamos estudiando francés y diseño web.
We have to look after our parents.,Tenemos que cuidar a nuestros padres.
"Tom seems very angry, doesn't he?","Tom parece estar muy enfadado, ¿verdad?"
I want to show you something first.,Quiero mostrarte algo primero.
I just need some aspirin.,Solo necesito aspirina.
I wish you had been there.,Desearía que hubieras estado ahí.
She greeted us with a smile.,Ella nos saludó con una sonrisa.
Would you please tell me the way to the station?,¿Me podría decir por favor el camino hacia la estación?
You are free to say what you think.,Eres libre de decir lo que piensas.
"I thought he would come to church with us, but he decided to stay home.","Pensé que vendría a la iglesia con nosotros, pero decidió quedarse en casa."
This is a Japanese doll.,Esta es una muñeca japonesa.
We're aware of the problem.,Estamos al corriente del problema.
What are you doing at school this afternoon?,¿Qué estás haciendo en la escuela en esta tarde?
Careless driving causes accidents.,Conducir con negligencia provoca accidentes.
Are you fond of baseball?,¿Os gusta el béisbol?
I think it's highly unlikely that I'll ever see my stolen motorcycle again.,Creo que es altamente improbable que vuelva a ver mi motocicleta robada otra vez.
The whole town knows about it.,Toda la ciudad está al corriente.
He thinks I'm jealous.,Él piensa que soy celoso.
I want money.,Quiero dinero.
I like to invent useful things.,Me gusta inventar cosas útiles.
"How tall are you, and how much do you weigh?",¿Cuánto mides y cuánto pesas?
What's this key for?,¿Para qué es esta llave?
Tom doesn't understand the value of saving.,Tom no comprende el valor de ahorrar.
Men should work.,Los hombres tienen que trabajar.
I don't usually eat red meat.,Generalmente no como carne roja.
Didn't anyone proofread this?,¿Ha revisado alguien este texto?
Tom heard Mary talking to John.,Tom oyó a Mary charlar con John.
Does this mean what I think it means?,¿Significa esto lo que yo creo que significa?
Tom didn't know what to do.,Tom no sabía qué hacer.
I thanked him from the bottom of my heart.,Le agradecí desde el fondo de mi corazón.
That sounds sensible.,Parece razonable.
I'm making coffee.,Estoy haciendo café.
Thank you very much for the undeserved attention.,Muchas gracias por la atención desmerecida.
This doll is a gift from my aunt.,Esta muñeca es un regalo de mi tía.
I also went there.,También fui allí.
She assured him that everything was OK.,Ella le aseguró que todo iba bien.
I hope this is worth it.,Espero que esto lo valga.
Tom thinks he knows where Mary went.,Tom piensa saber hacia dónde fue María.
Nothing is achieved without effort.,Nada se consigue sin esfuerzo.
"The sun was shining and it was warm, so I took the day off.","Brillaba el sol y hacía bueno, así que me tomé el día libre."
My sister has very good handwriting.,Mi hermana tiene muy buena letra.
The crowd is growing larger and larger.,La multitud está haciéndose cada vez mayor.
Tom can speak French like a native.,Tom habla francés como un nativo.
I don't like any of these pictures.,No me gusta ninguna de estas imágenes.
Tom made me a cup of hot chocolate.,Tom me preparó una taza de chocolate caliente.
I don't believe that either.,Yo tampoco creo eso.
We don't need anyone else.,No necesitamos a nadie más.
It was colder yesterday than today.,Ayer hizo más frío que hoy.
I'd like to know why you did it.,Quisiera saber por qué ha hecho eso.
This year we had more snow than last year.,Este año tuvimos más nieve que el año pasado.
She asked him to leave and take all his belongings.,Le pidió que se fuera y se llevara todas sus pertenencias.
None of my students failed.,Ninguno de mis estudiantes reprobó.
No one will believe me.,Nadie me va a creer.
"Sing the song once more, please.","Canta la canción una vez más, por favor."
This is my office.,Esta es mi oficina.
I can't say I share your enthusiasm for the idea.,No puedo decir que comparta tu entusiasmo por la idea.
He will be very busy next month.,Él estará muy ocupado el mes que viene.
I am 4 years younger than him.,Soy cuatro años menor que él.
Tom told Mary it wouldn't be easy.,Tom le dijo a Mary que no sería sencillo.
He eats around the clock.,Él come a toda hora.
Children really like playing on the beach.,A los niños les encanta jugar en la playa.
Who's your favorite poet?,¿Cuál es tu poeta favorito?
He does not have anyone to play with.,Él no tiene con quién jugar.
It is still fresh in my memory.,Aún lo tengo fresco en mi memoria.
That's a great plan.,Ese es un gran plan.
I must be getting close.,Debo estar acercándome.
I am studying to be a translator or interpreter.,Me estoy preparando para ser traductor o intérprete.
I bet you can't guess where I was last night!,¡A que no sabes dónde estuve anoche!
We want to tell you something.,Queremos decirles algo.
Do you know the family?,¿Conoces a la familia?
Tom isn't my boyfriend.,Tom no es mi novio.
He was seeking re-election.,Él buscaba la reelección.
Just make this stop.,Páralo.
He showed me how to make a cake.,Él me mostró como se hace una torta.
"Tom wants to learn boxing, but his mother thinks it's too dangerous.","Tom quiere aprender a boxear, pero su madre cree que es demasiado peligroso."
I don't know whether Tom will swim or not.,No sé si Tom va a nadar o no.
I think skateboards are usually cheaper than rollerblades.,Me parece que las patinetas en general son más baratas que los patines.
Tell her that I am sleeping.,Dile que estoy durmiendo.
I will go there even if it rains.,Iré allí aunque llueva.
They should arrive by ten o'clock.,Ellas deberían llegar a eso de las diez.
Tom took little sips of the piping hot coffee.,Tom tomó pequeños sorbos del café muy caliente.
Would you care for my plants while I'm away?,¿Te harías cargo de mis plantas mientras estoy fuera?
Tom entered the bar and sat on the stool next to Mary.,Tom entró al bar y se sentó en el banquillo junto a María.
"Now that you've decided to quit your job, you look happy.","Ahora que decidiste renunciar a tu trabajo, te ves feliz."
I'm sorry for ruining your birthday party.,Perdón por arruinar tu fiesta de cumpleaños.
Tom can't eat pork.,Tom no puede comer cerdo.
Three weeks went by.,Transcurrieron tres semanas.
Someone's calling.,Alguien está llamando.
She has nice legs.,Tiene buenas piernas.
She doesn't listen to music at all.,Ella no escucha ni un poco de música.
Take this medicine every six hours.,Toma este medicamento cada seis horas.
She returned his kiss.,Ella le devolvió el beso.
I look forward to my birthday.,Estoy deseando que llegue mi cumpleaños.
Lots of herons live in the marsh.,Muchas garzas viven en el pantano.
The room was warm.,La habitación estaba caliente.
What's your favorite winter activity?,¿Cuál es tu actividad de invierno preferida?
She loves children.,Ella ama los niños.
"If you want your money back, just say so.","Si quieres tu dinero de vuelta, solo dilo."
Tom is very lucky to be alive.,Tom tiene mucha suerte de estar vivo.
Are you saying that Tom can't understand French at all?,¿Estás diciendo que Tomás no entiende francés en absoluto?
Good things come in small packages.,Cosas buenas vienen en paquetes pequeños.
I've decided to tell the truth.,He decidido decir la verdad.
I only want Tom.,Solo quiero a Tom.
This stable contains twelve stalls.,Este establo tiene 12 puestos.
Your friends are late.,Tus amigos se retrasan.
She has been busy preparing for her trip to the USA.,Ha estado ocupada preparándose para su viaje a los Estados Unidos.
Now I remember.,Ahora me acuerdo.
Everything is all right now.,Ahora está todo bien.
She has done her homework.,Ella hizo su tarea.
I like to eat watermelon.,Me gusta comer sandía.
That was our agreement.,Eso fue nuestro acuerdo.
250 copies are available from our official shop.,Hay 250 copias disponibles de nuestra tienda oficial.
When will we see each other?,¿Cuándo nos vemos?
You must help her.,Debes ayudarla.
Tom has a lot of money in the bank.,Tom tiene mucho dinero en el banco.
Tom didn't speak French very well.,Tom no hablaba francés muy bien.
